Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
OTEX,29.46999931335449,29.399999618530284,55.25,35.63759098052979,37.729821395874026,38.25907058715821,39.71536504109701,41.394415054321286,Technology | Software - Application | Canada,20.18,,12.43,1.0,28.6,3.42,2022-08-08,2022-07-19,93.88617870481899,94.3512035385802,2022-08-22,2022-06-20
MSFT,253.25,241.50999450683602,349.6700134277344,276.84158782958986,269.6974224853516,268.29265243530267,277.56614552815756,288.61559059143065,Technology | Software - Infrastructure | USA,26.26,1.7,40.85,12.4,19.8,11.94,2022-08-22,2022-07-27,106.0062956475531,102.58465219597949,2022-08-29,2022-06-20
MSTR,204.25,134.08999633789062,891.3800048828125,282.9799987792968,257.690998840332,263.5800991821289,319.7040002441406,378.10980102539065,Technology | Software - Application | USA,,,63.04,-2.6,-166.5,1.8,2022-08-18,2022-06-21,134.09445250279794,116.81274162832834,2022-08-29,2022-06-20
PCTY,238.25,152.00999450683594,314.4949951171875,253.30949935913085,218.8525991821289,198.73409942626952,200.29239980061848,207.01909957885744,Technology | Software - Application | USA,148.17,7.41,96.64,36.7,27.9,4.58,2022-08-22,2022-07-20,133.50359123261995,121.63038347206793,2022-09-06,2022-06-20
NEWR,59.20000076293945,41.65999984741211,129.69999694824222,64.20550022125244,59.84659996032715,56.81089996337891,61.54299992879233,72.63024982452393,Technology | Software - Infrastructure | USA,,,123.3,19.9,-22.9,0.66,2022-08-18,2022-07-20,116.39828349150308,110.97708119982772,2022-09-06,2022-06-20
PD,23.07999992370605,21.71999931335449,50.33000183105469,26.639499855041503,26.591599922180176,26.61689994812012,28.614399935404464,29.89574998855591,Technology | Software - Application | USA,,,,34.3,-46.9,0.07,2022-08-17,2022-08-03,102.5719925370288,100.8233777667274,2022-08-29,2022-06-20
PODD,249.7899932861328,181.0,324.8099975585937,264.35900192260743,248.58980133056642,234.93570098876958,240.5540005493164,245.54940086364743,Healthcare | Medical Devices | USA,524.77,,,13.8,137.6,1.46,2022-08-19,2022-06-23,113.04895507861255,109.43518221479376,2022-09-05,2022-06-20
RAMP,18.959999084472656,18.76000022888184,58.7400016784668,21.294500064849853,24.763200073242192,26.649700031280517,31.049399935404463,35.00099986076355,Technology | Information Technology Services | USA,,,22.96,19.5,63.6,0.77,2022-08-05,2022-08-03,81.81036882630427,86.38257867993221,2022-08-15,2022-06-13
RNG,41.9900016784668,40.59000015258789,315.0,46.13899993896485,50.40679992675781,60.69960010528565,84.39613339742023,110.74185010910034,Technology | Software - Application | USA,,,23.52,28.4,-338.2,2.48,2022-08-18,2022-08-08,87.47862873830242,86.37363921169067,2022-06-06,2022-06-13
OKTA,60.65999984741211,58.11999893188477,276.29998779296875,93.02650012969973,96.4489998626709,99.49260013580324,122.0339998626709,144.911100025177,Technology | Software - Infrastructure | USA,,,259.37,43.2,-173.7,-0.38,2022-08-18,2022-08-03,97.53544164737416,96.47494677854738,2022-08-29,2022-06-06
NCNO,31.53000068664551,23.940000534057614,79.43000030517578,33.685000228881826,33.14700023651123,33.61080011367798,37.4150000890096,41.30895007133484,Technology | Software - Application | USA,,,,49.8,-10.6,0.03,2022-08-18,2022-07-29,105.62436503420713,101.26341826486835,2022-04-18,2022-05-30
NFLX,218.38999938964844,162.7100067138672,700.989990234375,233.4804992675781,214.75799987792968,208.3785998535156,265.44273376464844,341.31940048217774,Communication Services | Entertainment | USA,20.44,2.18,616.78,8.6,81.3,10.74,2022-08-19,2022-05-12,119.22035565716696,110.03097051873918,2022-04-18,2022-05-30
NRIX,15.300000190734865,7.519999980926514,37.42499923706055,16.409999895095826,16.054199981689454,13.459299974441528,14.064333311716714,17.175099997520448,Healthcare | Biotechnology | USA,,,,60.6,-145.6,-3.83,2022-08-12,2022-08-04,111.92243481683586,114.9938394400776,2022-09-05,2022-05-30
SCWX,9.850000381469727,9.260000228881836,26.88999938964844,10.223000001907348,10.37380002975464,10.746100034713745,11.766466700236,12.847000026702881,Technology | Software - Infrastructure | USA,,,,-13.4,-78.3,-0.66,2022-09-06,2022-08-12,96.68167578969229,96.92258131236936,2022-04-25,2022-05-30
ACCD,9.699999809265137,4.610000133514403,49.47000122070313,11.31099991798401,10.270199937820433,8.928449964523315,11.744099928538006,14.7128249168396,Healthcare | Health Information Services | USA,,,,58.4,-11.9,-2.02,2022-08-19,2022-08-03,122.6145805115671,121.33802862963823,2022-04-25,2022-05-30
